uid,nickname,time,star,comment
-1772039082,p***9,2020-01-25 08:20:29,1,怎么换购的东西我不用掏钱的么？付了款又显示没货，对比之后才发现，比家附近的超市卖的贵，允许付款但不发货，是几个意思？差评！大过年的，没货老子就去超市买了，什么破服务。
1386098564,j***4,2020-01-19 21:21:44,1,标题写着超值分享装，结果不是，误导！差评！
-1826811830,j***a,2020-01-17 15:10:00,1,太恶心了，全是碎碎沫子，根本不能吃，最失望的一次京东购买！
-880069595,d***d,2020-01-16 23:07:00,1,怪自己没注意，看到活动就以为是便宜的？提醒下买的人！19.9是3包70k的！买之前看清楚，顺便可以去看看70k的单卖多少钱再决定买不买！
787657528,j***n,2020-01-15 17:54:54,1,未收到货，奇怪
1051923949,j***3,2020-01-06 12:13:46,1,不好吃 咸
-1272990898,b***1,2020-01-02 12:17:41,1,刚收到货就不给价保，算了，懒得退了
-2035980076,柏***j,2019-12-25 17:37:37,1,19.9还秒杀？也怪自己不好看见秒杀的就以为是优惠的，唉，希望后面买的人多看清楚规格和数量
1395898375,j***c,2019-12-20 21:23:50,1,京东超级坑 挖现金这个活动太假了 现在直接换红包都是飘走了 。假
1655017328,jd_5b049*****287,2019-12-20 18:14:20,1,吃饭一块牙碜的难受
